feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
0,0,0,1,0,2,0,0,2,2,0,0,0,2,1,0,0,3,0,0,1.340739,316,128
0,0,1,0,0,0,4,0,0,2,2,0,0,1,0,0,0,3,0,0,1.575789,317,150
0,0,0,1,0,2,2,0,0,2,1,0,1,1,0,0,0,0,0,3,1.555242,319,140
0,0,0,0,1,2,2,0,2,0,0,0,1,1,1,0,3,0,0,0,1.119008,321,189
0,0,0,1,0,4,0,2,0,0,0,1,0,1,1,3,0,0,0,0,1.276137,322,219
0,0,0,0,1,2,0,2,2,0,1,0,1,0,1,0,0,0,0,3,1.042300,323,229
0,0,0,1,0,0,2,2,0,2,1,0,1,1,0,0,0,0,3,0,1.634382,324,209
0,0,0,1,0,0,2,4,0,0,1,0,1,1,0,0,0,0,3,0,1.466846,325,163
0,1,0,0,0,0,2,2,0,2,0,1,0,1,1,3,0,0,0,0,1.895906,327,155
0,0,0,0,1,0,2,2,0,2,1,0,2,0,0,0,0,0,3,0,1.472998,328,165
0,0,0,1,0,0,2,0,2,2,1,1,0,0,1,0,0,3,0,0,1.523232,329,154
0,0,0,0,1,0,4,0,2,0,0,2,1,0,0,3,0,0,0,0,1.330349,330,257
0,0,0,0,1,2,2,0,2,0,1,1,0,1,0,0,0,0,0,3,1.137833,331,192
0,1,0,0,0,4,2,0,0,0,2,1,0,0,0,3,0,0,0,0,1.745008,333,222
1,0,0,0,0,0,2,0,4,0,0,0,0,3,0,3,0,0,0,0,1.955717,335,177
0,1,0,0,0,2,2,0,2,0,0,0,0,1,2,3,0,0,0,0,1.670591,337,175
0,0,0,0,1,2,0,0,4,0,0,0,0,1,2,0,0,0,0,3,0.997554,338,197
0,0,1,0,0,0,0,4,0,2,0,0,0,2,1,0,0,3,0,0,1.416574,340,158
0,0,1,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,3,0,1.677321,341,169
0,0,1,0,0,2,0,0,2,2,0,0,0,1,2,3,0,0,0,0,1.320241,342,172
0,0,0,0,1,0,2,0,2,2,0,1,0,1,1,0,0,0,0,3,1.245661,344,194
0,0,1,0,0,2,2,2,0,0,0,0,0,1,2,0,0,0,0,3,1.299013,345,196
0,0,0,0,1,0,2,0,2,2,1,0,1,1,0,0,0,3,0,0,1.433046,346,182
1,0,0,0,0,4,0,2,0,0,0,2,0,1,0,0,0,0,3,0,1.582483,347,170
0,1,0,0,0,2,0,4,0,0,0,1,0,0,2,0,3,0,0,0,1.650110,348,187
0,0,0,0,1,2,0,0,0,4,1,2,0,0,0,0,3,0,0,0,1.297696,349,171
0,1,0,0,0,0,0,2,2,2,0,2,0,0,1,0,3,0,0,0,1.973982,350,186
0,1,0,0,0,0,0,2,2,2,2,1,0,0,0,3,0,0,0,0,2.066002,351,193
0,1,0,0,0,2,0,0,2,2,0,1,0,1,1,0,0,3,0,0,1.804248,352,206
0,0,0,0,1,2,0,4,0,0,0,1,1,0,1,0,0,0,0,3,1.038144,353,191
0,0,0,0,1,0,2,2,2,0,0,3,0,0,0,0,3,0,0,0,1.246418,357,7
0,0,0,1,0,0,4,0,0,2,2,0,0,1,0,0,0,3,0,0,1.671496,358,8
0,1,0,0,0,2,0,0,0,4,1,0,1,1,0,0,0,3,0,0,2.058754,360,178
1,0,0,0,0,0,2,0,4,0,1,0,0,1,1,0,0,3,0,0,1.911243,362,199
0,1,0,0,0,0,0,2,0,4,1,1,0,0,1,3,0,0,0,0,2.083917,363,208
0,0,1,0,0,0,0,4,0,2,0,1,0,2,0,3,0,0,0,0,1.397371,364,179
1,0,0,0,0,4,0,0,0,2,0,0,0,1,2,3,0,0,0,0,1.714667,365,190
0,1,0,0,0,2,0,2,0,2,0,0,0,1,2,3,0,0,0,0,1.793543,366,180
1,0,0,0,0,2,2,0,0,2,0,1,0,0,2,0,0,0,3,0,1.862835,367,202
0,0,1,0,0,0,2,2,0,2,0,1,0,1,1,0,0,3,0,0,1.454760,369,183
0,0,0,0,1,0,0,2,4,0,1,1,0,1,0,3,0,0,0,0,1.172810,370,200
0,0,0,0,1,2,0,2,2,0,1,0,2,0,0,3,0,0,0,0,1.262939,371,356
0,0,0,1,0,4,2,0,0,0,0,2,0,1,0,0,3,0,0,0,1.327235,372,242
0,0,0,0,1,0,4,0,2,0,1,0,1,1,0,0,0,0,3,0,1.293167,373,214
0,0,1,0,0,0,0,0,4,2,0,1,0,1,1,0,0,0,0,3,1.555570,374,224
1,0,0,0,0,0,4,0,0,2,1,1,0,0,1,3,0,0,0,0,2.051158,375,233
0,1,0,0,0,0,2,2,0,2,0,0,0,0,3,0,0,0,0,3,1.815579,377,253
0,1,0,0,0,2,2,2,0,0,0,0,0,1,2,3,0,0,0,0,1.642365,378,308
0,0,1,0,0,0,2,2,2,0,0,1,1,1,0,0,0,0,3,0,1.291339,379,360
0,0,0,1,0,0,0,2,2,2,1,0,1,0,1,0,0,3,0,0,1.507561,381,4
0,1,0,0,0,2,0,0,0,4,0,2,0,1,0,0,3,0,0,0,2.017128,382,218
0,0,1,0,0,0,4,2,0,0,0,2,1,0,0,3,0,0,0,0,1.386029,383,210
0,0,0,0,1,0,2,2,2,0,0,0,2,1,0,3,0,0,0,0,1.258233,385,371
0,1,0,0,0,2,2,2,0,0,1,0,0,1,1,3,0,0,0,0,1.662533,386,238
1,0,0,0,0,4,0,0,2,0,1,0,0,2,0,0,3,0,0,0,1.668311,387,243
0,0,0,0,1,0,0,0,4,2,0,0,1,2,0,0,0,0,0,3,1.261938,388,215
0,0,0,0,1,0,2,2,0,2,1,0,0,0,2,0,0,3,0,0,1.224335,390,239
0,0,0,1,0,4,0,2,0,0,0,0,1,2,0,0,0,3,0,0,1.318150,391,211
0,1,0,0,0,0,2,2,2,0,0,0,0,2,1,0,0,3,0,0,1.786154,394,255
0,1,0,0,0,0,2,0,2,2,1,1,0,0,1,0,0,0,0,3,2.013893,395,231
0,0,0,0,1,0,2,2,2,0,0,2,0,0,1,0,0,3,0,0,1.116383,396,256
0,1,0,0,0,2,0,2,0,2,2,0,0,0,1,0,0,0,0,3,1.779273,397,235
0,1,0,0,0,2,2,0,0,2,0,1,1,1,0,0,0,0,3,0,1.843071,398,367
