feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
0,1,0,0,0,0,2,2,2,0,3,0,0,0,0,0,0,0,0,3,1.528951,311,134
1,0,0,0,0,0,4,0,2,0,0,1,2,0,0,3,0,0,0,0,1.553661,313,153
1,0,0,0,0,2,0,4,0,0,0,0,0,2,1,0,0,3,0,0,1.222307,314,137
1,0,0,0,0,0,4,0,0,2,0,0,2,1,0,0,3,0,0,0,1.565971,315,162
0,0,0,1,0,2,0,0,2,2,0,0,0,2,1,0,0,3,0,0,0.995739,316,128
0,0,1,0,0,0,4,0,0,2,2,0,0,1,0,0,0,3,0,0,1.230789,317,150
0,0,0,1,0,2,2,0,0,2,1,0,1,1,0,0,0,0,0,3,1.210242,319,140
0,0,0,0,1,2,2,0,2,0,0,0,1,1,1,0,3,0,0,0,0.774008,321,189
0,0,0,1,0,4,0,2,0,0,0,1,0,1,1,3,0,0,0,0,0.931137,322,219
0,0,0,0,1,2,0,2,2,0,1,0,1,0,1,0,0,0,0,3,0.697300,323,229
0,0,0,1,0,0,2,2,0,2,1,0,1,1,0,0,0,0,3,0,1.289382,324,209
0,0,0,1,0,0,2,4,0,0,1,0,1,1,0,0,0,0,3,0,1.121846,325,163
0,1,0,0,0,0,2,2,0,2,0,1,0,1,1,3,0,0,0,0,1.550906,327,155
0,0,0,0,1,0,2,2,0,2,1,0,2,0,0,0,0,0,3,0,1.127998,328,165
0,0,0,1,0,0,2,0,2,2,1,1,0,0,1,0,0,3,0,0,1.178232,329,154
0,0,0,0,1,0,4,0,2,0,0,2,1,0,0,3,0,0,0,0,0.985349,330,257
0,0,0,0,1,2,2,0,2,0,1,1,0,1,0,0,0,0,0,3,0.792833,331,192
0,1,0,0,0,4,2,0,0,0,2,1,0,0,0,3,0,0,0,0,1.400008,333,222
1,0,0,0,0,0,2,0,4,0,0,0,0,3,0,3,0,0,0,0,1.610717,335,177
0,1,0,0,0,2,2,0,2,0,0,0,0,1,2,3,0,0,0,0,1.325591,337,175
0,0,0,0,1,2,0,0,4,0,0,0,0,1,2,0,0,0,0,3,0.652554,338,197
0,0,1,0,0,0,0,4,0,2,0,0,0,2,1,0,0,3,0,0,1.071574,340,158
0,0,1,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,3,0,1.332321,341,169
0,0,1,0,0,2,0,0,2,2,0,0,0,1,2,3,0,0,0,0,0.975241,342,172
